Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Qualifying_Time(s),Starting_Pos,Race_Result,Tyre_Compound_HARD,Tyre_Compound_MEDIUM,Tyre_Compound_SOFT
PIA,93.472,92.224,95.635,28.3731,32.22676923,48.985538461,110.3587,6.0,92.55,5.0,19.0,0.0,1.0,0.0
PIA,93.472,92.224,95.635,28.3731,32.22676923,48.985538461,110.3587,6.0,92.55,5.0,19.0,0.0,1.0,0.0
RUS,92.741,91.52,95.101,27.9787,32.98776923,49.256538461,109.65,5.0,92.286,2.0,2.0,0.0,1.0,0.0
RUS,92.741,91.52,95.101,27.9787,32.98776923,49.256538461,109.65,5.0,92.286,2.0,2.0,0.0,1.0,0.0
SAI,95.679,94.761,97.913,29.112,32.322,48.965,110.9942,6.0,94.317,17.0,9.0,0.0,1.0,0.0
SAI,95.679,94.761,97.913,29.112,32.322,48.965,110.9942,6.0,94.317,17.0,9.0,1.0,0.0,0.0
STR,97.224,96.151,98.532,29.756166666,33.753428571,49.822142857,113.3595,7.0,95.995,21.0,18.0,0.0,1.0,0.0
STR,97.224,96.151,98.532,29.756166666,33.753428571,49.822142857,113.3595,7.0,95.995,21.0,18.0,0.0,0.0,1.0
VER,94.541,93.254,95.774,29.153714285,32.952235294,47.594058823,109.1845,7.0,93.002,8.0,16.0,0.0,1.0,0.0
VER,94.541,93.254,95.774,29.153714285,32.952235294,47.594058823,109.1845,7.0,93.002,8.0,16.0,1.0,0.0,0.0
ALB,93.697,91.496,91.733,42.531230769,48.057666666,21.567,106.666583333,11.0,91.088,17.0,20.0,1.0,0.0,0.0
ALB,93.697,91.496,91.733,42.531230769,48.057666666,21.567,106.666583333,11.0,91.088,17.0,20.0,0.0,1.0,0.0
ALB,93.697,91.496,91.733,42.531230769,48.057666666,21.567,106.666583333,11.0,91.088,17.0,20.0,0.0,1.0,0.0
ANT,91.692,90.225,89.362,47.109173913,45.386107142,21.655821428,103.388473684,10.0,88.778,1.0,1.0,1.0,0.0,0.0
ANT,91.692,90.225,89.362,47.109173913,45.386107142,21.655821428,103.388473684,10.0,88.778,1.0,1.0,0.0,1.0,0.0
ANT,91.692,90.225,89.362,47.109173913,45.386107142,21.655821428,103.388473684,10.0,88.778,1.0,1.0,0.0,1.0,0.0
